article,is_seed,source
042–079,False,outlink
17A,False,backlink
19 to Zero,False,category
1918 flu pandemic,False,outlink
1:99 Concert,False,outlink
2-day CPET,False,category
2002–2004 SARS outbreak,False,outlink
2002–2004 SARS outbreak among healthcare workers,False,outlink
2019–2022 Chilean protests,False,outlink
202-CoV,False,outlink
2020 Azerbaijani protests,False,outlink
2020 Brazilian protests,False,outlink
2020 Danish mink cull,False,outlink
2020 Russia–Saudi Arabia oil price war,False,outlink
2020 Tablighi Jamaat COVID-19 hotspot in Delhi,False,outlink
2020 Tablighi Jamaat COVID-19 hotspot in Malaysia,False,outlink
2020 Tablighi Jamaat COVID-19 hotspot in Pakistan,False,outlink
2020 United Kingdom school exam grading controversy,False,outlink
2020 in the United Kingdom,False,backlink
2020 stock market crash,False,outlink
2020–2021 Belarusian protests,False,outlink
2020–2021 Bulgarian protests,False,outlink
2020–2021 protests against Benjamin Netanyahu,False,outlink
2020–2022 Serbian protests,False,outlink
2020–2023 global chip shortage,False,outlink
2020–21 Singapore circuit breaker measures,False,outlink
2021 Abkhazia unrest,False,outlink
2021 Brazilian protests,False,outlink
2021 Colombian protests,False,outlink
2021 Cuban protests,False,outlink
2021 Dutch curfew riots,False,outlink
2021 French labor protests,False,outlink
2021 Greek protests,False,outlink
2021 Idar-Oberstein shooting,False,outlink
2021 Mongolian protests,False,outlink
2021 Myanmar coup d'état,False,outlink
2021 Paraguayan protests,False,outlink
2021 Tunisian protests,False,outlink
2021 hospital crisis in the U.S. from COVID-19,False,outlink
2021–2022 global supply chain crisis,False,outlink
2021–2022 inflation surge,False,outlink
2021–2022 social unrest in the French West Indies,False,outlink
2021–2023 global energy crisis,False,outlink
2021–2023 global supply chain crisis,False,outlink
2022 Beijing Sitong Bridge protest,False,outlink
2022 Brussels protests,False,outlink
2022 COVID-19 protests in China,False,outlink
2022 Colombian protests,False,outlink
2022 Shanghai COVID-19 outbreak,False,outlink
2022 Wellington protest,False,outlink
2023 Chinese healthcare reform protests,False,outlink
3C-like protease,False,outlink
ABNCoV2,False,outlink
ACE inhibitor,False,outlink
ACE inhibitors,False,outlink
ACE2,False,outlink
AG0302-COVID‑19,False,outlink
AKS-452,False,outlink
ARCT-021,False,outlink
ARCT-154,False,outlink
AXA1125,False,category
